text,sentiment
Exceeded my expectations!,positive
I regret buying this.,negative
Exceeded my expectations!,positive
I love this product!,positive
Really happy with the purchase.,positive
I regret buying this.,negative
I hate this product.,negative
"Very bad experience, do not buy.",negative
Really happy with the purchase.,positive
Extremely poor performance.,negative
Superb service and excellent quality.,positive
Great quality and amazing performance.,positive
Extremely poor performance.,negative
Not worth the money at all.,negative
I love this product!,positive
Worst quality I have ever seen.,negative
Absolutely fantastic experience.,positive
"Brilliant product, will buy again.",positive
Pathetic service and product.,negative
I regret buying this.,negative
Worst quality I have ever seen.,negative
Really happy with the purchase.,positive
Very satisfying and worth the money.,positive
I love this product!,positive
Very satisfying and worth the money.,positive
I love this product!,positive
"Brilliant product, will buy again.",positive
"Very bad experience, do not buy.",negative
Absolutely fantastic experience.,positive
Worst quality I have ever seen.,negative
I love this product!,positive
Great quality and amazing performance.,positive
Totally impressed with this.,positive
I hate this product.,negative
Not worth the money at all.,negative
I regret buying this.,negative
Superb service and excellent quality.,positive
Not worth the money at all.,negative
Completely unsatisfied and frustrated.,negative
Exceeded my expectations!,positive
Superb service and excellent quality.,positive
Totally impressed with this.,positive
Not worth the money at all.,negative
Great quality and amazing performance.,positive
"Very bad experience, do not buy.",negative
I love this product!,positive
Pathetic service and product.,negative
"Brilliant product, will buy again.",positive
Completely unsatisfied and frustrated.,negative
Great quality and amazing performance.,positive
Pathetic service and product.,negative
Totally impressed with this.,positive
Worst quality I have ever seen.,negative
I regret buying this.,negative
Completely unsatisfied and frustrated.,negative
Great quality and amazing performance.,positive
Highly recommend this to everyone.,positive
Great quality and amazing performance.,positive
Really happy with the purchase.,positive
Pathetic service and product.,negative
Absolutely fantastic experience.,positive
Pathetic service and product.,negative
I love this product!,positive
Waste of time and money.,negative
I hate this product.,negative
Superb service and excellent quality.,positive
Waste of time and money.,negative
Exceeded my expectations!,positive
Exceeded my expectations!,positive
Highly recommend this to everyone.,positive
I regret buying this.,negative
I hate this product.,negative
"Brilliant product, will buy again.",positive
Totally impressed with this.,positive
"Brilliant product, will buy again.",positive
Highly recommend this to everyone.,positive
Pathetic service and product.,negative
"Brilliant product, will buy again.",positive
"Brilliant product, will buy again.",positive
Totally impressed with this.,positive
Absolutely fantastic experience.,positive
Exceeded my expectations!,positive
I regret buying this.,negative
Great quality and amazing performance.,positive
Absolutely fantastic experience.,positive
Really happy with the purchase.,positive
I hate this product.,negative
I love this product!,positive
Waste of time and money.,negative
Completely unsatisfied and frustrated.,negative
"Very bad experience, do not buy.",negative
Great quality and amazing performance.,positive
Exceeded my expectations!,positive
Pathetic service and product.,negative
Superb service and excellent quality.,positive
Exceeded my expectations!,positive
Not worth the money at all.,negative
Exceeded my expectations!,positive
Completely unsatisfied and frustrated.,negative
"Terrible experience, very disappointed.",negative
Worst quality I have ever seen.,negative
Not worth the money at all.,negative
Extremely poor performance.,negative
Exceeded my expectations!,positive
"Terrible experience, very disappointed.",negative
Absolutely fantastic experience.,positive
I love this product!,positive
Absolutely fantastic experience.,positive
Highly recommend this to everyone.,positive
"Terrible experience, very disappointed.",negative
Totally impressed with this.,positive
"Brilliant product, will buy again.",positive
"Brilliant product, will buy again.",positive
I hate this product.,negative
Waste of time and money.,negative
Superb service and excellent quality.,positive
Extremely poor performance.,negative
"Terrible experience, very disappointed.",negative
"Very bad experience, do not buy.",negative
I regret buying this.,negative
Pathetic service and product.,negative
Exceeded my expectations!,positive
Pathetic service and product.,negative
Pathetic service and product.,negative
Superb service and excellent quality.,positive
Worst quality I have ever seen.,negative
Worst quality I have ever seen.,negative
Exceeded my expectations!,positive
Really happy with the purchase.,positive
Not worth the money at all.,negative
Exceeded my expectations!,positive
I love this product!,positive
Absolutely fantastic experience.,positive
Great quality and amazing performance.,positive
"Terrible experience, very disappointed.",negative
"Brilliant product, will buy again.",positive
"Very bad experience, do not buy.",negative
Great quality and amazing performance.,positive
Not worth the money at all.,negative
